stock_item_key,item_name,item_type,relation_type,usage_part,related_material,raw_material_meta_code,raw_material_risk_meta_code,demand_risk_meta_code,mapping_weight,mapping_confidence,exposure_score,evidence_reference,review_status,reviewer,reviewed_at,mapping_version,source
D3734::검사실::USE0000412,1회용주사기 5ml (100개/ box),DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D3734::검사실::USE0000413,1회용주사기 10ml(100개/box),DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D3934::검사실::USE0000267,예방접종용주사기3ml,DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D3934::검사실::USE0000268,채혈용주사기 10ml,DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D3:34::치과::USE0000105,일회용주사기(5ml),DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D3;34::예방접종관리::USE0000154,23Gx3ml주사기,DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D4334::예방접종관리::USE0000038,1cc 주사기,DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D4334::예방접종관리::USE0000039,2cc주사기,DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D4334::예방접종관리::USE0000748,5cc주사기,DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
D4334::예방접종관리::USE0000749,10cc 주사기,DISPOSABLE_SYRINGE,direct_component,barrel_and_plunger,polypropylene (PP),POLYPROPYLENE_PP,MIDEAST_NAPHTHA_PETROCHEM_SHOCK,,0.7,medium,0.7,https://supply.unicef.org/s0782413.html;https://www.accessdata.fda.gov/cdrh_docs/pdf19/K190002.pdf;https://extranet.who.int/prequal/sites/default/files/imd_products/47fd4600-3bfb-4a03-a058-0c4196d09328_0.pdf;https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap3.pdf,approved,codex_policy_review_experiment,2026-07-22T15:45:11.811437+00:00,material-approval-pilot-v1.0,approved_classification_plus_authoritative_material_evidence
