dictionary_id,entry_type,match_key,canonical_id,canonical_value,applicable_context,source_name,source_record_id,source_url,source_tier,verification_status,confidence,retrieved_at,evidence_note,dictionary_version
DICT_FDA_PRODUCT_SAFELAN,product_alias,SafeLan,FDA_DEVICE::K230759::SAFELAN,SafeLan blood lancet,MED_SUPPLY,FDA 510(k) K230759,K230759,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230759.pdf,official_regulator,verified_official,0.99,2026-07-15T17:28:19.283173+00:00,FDA identifies SafeLan 26G and 30G as single-use blood lancet models.,item-attribute-evidence-v1.0
DICT_PRODUCT_GODEX_CAPSULE,product_alias,고덱스캡슐,MANUFACTURER_PRODUCT::CELLTRIONPH::GODEX_CAPSULE,고덱스캡슐,MED_ORAL,셀트리온제약 제품소개,modify_key=18,https://www.celltrionph.com/ko-kr/product/introducedetail?modify_key=18,official_manufacturer,verified_official,0.98,2026-07-15T17:28:19.283173+00:00,"Official manufacturer product page identifies the product, ingredients, strength, and package units.",item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_196000008,product_alias,다이크로짇정,MFDS_DRUG::196000008,다이크로짇정(히드로클로로티아지드),medication,식품의약품안전처 의약품안전나라,196000008,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=196000008,official_regulator,verified_official,0.99,2026-07-15T14:04:06.125767+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_200906478,product_alias,둘코락스에스장용정,MFDS_DRUG::200906478,둘코락스에스장용정,medication,식품의약품안전처 의약품안전나라,200906478,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200906478,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_197800466,product_alias,리나치올캡슐,MFDS_DRUG::197800466,리나치올캡슐375밀리그램(카르보시스테인)(수출명:HyundiolCapsule375Mg),medication,식품의약품안전처 의약품안전나라,197800466,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197800466,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_197400246,product_alias,마그밀정,MFDS_DRUG::197400246,마그밀정(수산화마그네슘),medication,식품의약품안전처 의약품안전나라,197400246,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197400246,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_197000076,product_alias,보나링에이정,MFDS_DRUG::197000076,보나링에이정(디멘히드리네이트),medication,식품의약품안전처 의약품안전나라,197000076,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197000076,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_200901181,product_alias,부스코판당의정,MFDS_DRUG::200901181,부스코판당의정(부틸스코폴라민브롬화물),medication,식품의약품안전처 의약품안전나라,200901181,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200901181,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_PRODUCT_SAMNAM_ACETAMINOPHEN_500,product_alias,삼남아세트아미노펜정,MANUFACTURER_PRODUCT::SAMNAM::ACETAMINOPHEN_500_TABLET,삼남아세트아미노펜정500mg,MED_ORAL,삼남제약 제품정보,com_board_id=18&com_board_idx=9,https://www.samnam51.com/bizdemo39879/mp3/mp3_sub15.php?com_board_basic=read_form&com_board_id=18&com_board_idx=9&sub=01,official_manufacturer,verified_official,0.99,2026-07-15T17:28:19.283173+00:00,"Official manufacturer page lists acetaminophen as the active ingredient, 500mg product strength, and package units.",item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_199100535,product_alias,성광리도아가아제,MFDS_DRUG::199100535,성광리도아가아제,medication,식품의약품안전처 의약품안전나라,199100535,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199100535,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_197000049,product_alias,셉트린정,MFDS_DRUG::197000049,셉트린정,medication,식품의약품안전처 의약품안전나라,197000049,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197000049,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_PRODUCT_SINIL_THIAMINE_10,product_alias,신일티아민염산염정,HIRA_DRUG::653801460,신일티아민염산염정10밀리그램,MED_ORAL,건강보험심사평가원 + 약학정보원,653801460,https://www.hira.or.kr/ra/medi/getHistoryList.do?artcNm=653801460&isActivity=Y&isDown=N&pageIndex=1&pgmid=HIRAA030035020000&srchCnd=%5B653801460%5D,official_public_agency,verified_multi_source,0.97,2026-07-15T17:28:19.283173+00:00,HIRA verifies the exact 10mg product code; Korea Pharmaceutical Information Center independently lists thiamine hydrochloride 10mg and Sinil Pharm (https://www.health.kr/searchDrug/result_drug.asp?drug_cd=A11A2070B0018).,item-attribute-evidence-v1.0
DICT_MFDS_PRODUCT_199901375,product_alias,아루펜정,MFDS_DRUG::199901375,아루펜정400밀리그람(이부프로펜),medication,식품의약품안전처 의약품안전나라,199901375,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199901375,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Official NEDrug page fetched with HTTP 200 and response SHA256 recorded.,item-attribute-evidence-v1.0
DICT_PRODUCT_YUHAN_PENIRAMIN,product_alias,페니라민정,MANUFACTURER_PRODUCT::YUHAN::PENIRAMIN_TABLET,페니라민정,MED_ORAL,유한양행 제품정보,YPRD_IDX=1865,https://www.yuhan.co.kr/Products/List/?Category=315&YPRD_IDX=1865&cid=177&mode=view&p=1&sf=YPRD_SORT&sm=-1,official_manufacturer,verified_official,0.99,2026-07-15T17:28:19.283173+00:00,"Official manufacturer page lists the product, chlorpheniramine maleate 2mg per tablet, and package unit.",item-attribute-evidence-v1.0
DICT_PRODUCT_NELSON_IBUPROFEN_200,product_alias,한국넬슨이부프로펜정,MANUFACTURER_PRODUCT::NELSON::IBUPROFEN_200_TABLET,넬슨이부프로펜정200밀리그램(이부프로펜),MED_ORAL,한국넬슨제약 제품목록 + 대한의사협회 Drug DB,it_id=1724822145,https://nelsonpharm.co.kr/product/list.php?ca_id=10,official_manufacturer,verified_multi_source,0.97,2026-07-15T17:28:19.283173+00:00,"Official manufacturer catalog lists the 200mg ibuprofen tablet; KMA Drug DB independently matches the legacy raw name, ingredient, strength, manufacturer, and tablet form (https://www.snubi.org/~kma/new_kma/contents/search/?CodeProd=A18400091&_p=ProdInfo1).",item-attribute-evidence-v1.0
DICT_FDA_FAMILY_SAFELAN,product_family,SafeLan,BLOOD_LANCET,채혈침,MED_SUPPLY,FDA 510(k) K230759,K230759,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230759.pdf,official_regulator,verified_official,0.99,2026-07-15T17:28:19.283173+00:00,FDA common name and classification identify SafeLan as a blood lancet.,item-attribute-evidence-v1.0
DICT_PRODUCT_INGREDIENT_GODEX_CAPSULE,product_ingredient,고덱스캡슐,CARNITINE_OROTATE;ANTITOXIC_LIVER_EXTRACT;ADENINE_HYDROCHLORIDE;PYRIDOXINE_HYDROCHLORIDE;RIBOFLAVIN;CYANOCOBALAMIN;BIPHENYL_DIMETHYL_DICARBOXYLATE,오로트산카르니틴;항독성간장엑스;아데닌염산염;피리독신염산염;리보플라빈;시아노코발라민;비페닐디메틸디카르복실레이트,MED_ORAL,셀트리온제약 제품소개,modify_key=18,https://www.celltrionph.com/ko-kr/product/introducedetail?modify_key=18,official_manufacturer,verified_official,0.98,2026-07-15T17:28:19.283173+00:00,Ingredients are listed on the official manufacturer product page.,item-attribute-evidence-v1.0
DICT_MFDS_INGREDIENT_196000008,product_ingredient,다이크로짇정,HYDROCHLOROTHIAZIDE,히드로클로로티아지드,medication,식품의약품안전처 의약품안전나라,196000008,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=196000008,official_regulator,verified_official,0.99,2026-07-15T14:04:06.125767+00:00,Ingredient token was found on the official NEDrug detail page.,item-attribute-evidence-v1.0
DICT_MFDS_INGREDIENT_200906478,product_ingredient,둘코락스에스장용정,BISACODYL,비사코딜,medication,식품의약품안전처 의약품안전나라,200906478,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200906478,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Ingredient token was found on the official NEDrug detail page.,item-attribute-evidence-v1.0
DICT_MFDS_INGREDIENT_197800466,product_ingredient,리나치올캡슐,CARBOCISTEINE,카르보시스테인,medication,식품의약품안전처 의약품안전나라,197800466,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197800466,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Ingredient token was found on the official NEDrug detail page.,item-attribute-evidence-v1.0
DICT_MFDS_INGREDIENT_197400246,product_ingredient,마그밀정,MAGNESIUM_HYDROXIDE,수산화마그네슘,medication,식품의약품안전처 의약품안전나라,197400246,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197400246,official_regulator,verified_official,0.99,2026-07-15T14:04:28.826873+00:00,Ingredient token was found on the official NEDrug detail page.,item-attribute-evidence-v1.0
